Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,10nm_sieving_coefficient,180nm_retentate,180nm_permeate,180nm_cumulative_yield,180nm_sieving_coefficient,300nm_retentate,300nm_permeate,300nm_cumulative_yield,300nm_sieving_coefficient
21211.06055302765,0.0017878493789469747,0.0008212150621053027,0.8212150621053026,0.8393423414908878,0.04957226280833645,4.277371916635557e-05,0.008554743833271112,0.0036362526852836592,0.05999399865657489,6.00134342511521e-07,0.00010002239041858684,4.169629471848489e-05
21221.06105305265,0.001786345743557263,0.000821365425644274,0.8213654256442738,0.8393638237892643,0.04957203803926111,4.279619607389005e-05,0.00855923921477801,0.003636252675869665,0.05999399637243565,6.003627564355325e-07,0.00010006045940592208,4.169629563566541e-05
21231.061553077652,0.0017848433473327653,0.0008215156652667236,0.8215156652667235,0.8393852992918465,0.049571813257355234,4.281867426447696e-05,0.00856373485289539,0.0036362526675906503,0.059993994089209454,6.005910790552498e-07,0.00010009851317587495,4.1696296552479285e-05
21241.062053102654,0.0017833421889827143,0.0008216657811017288,0.8216657811017287,0.8394067680049903,0.049571588463031876,4.2841153696813095e-05,0.008568230739362618,0.0036362526604858617,0.05999399180688934,6.008193110669953e-07,0.0001001365518444992,4.1696297468929306e-05
21251.062553127656,0.0017818422672160762,0.0008218157732783926,0.8218157732783925,0.8394282299350628,0.04957136365670526,4.2863634329474675e-05,0.008572726865894935,0.003636252654595129,0.05999398952546831,6.010474531694122e-07,0.00010017457552823537,4.169629838501826e-05
21261.06305315266,0.0017803435807415549,0.0008219656419258448,0.8219656419258445,0.8394496850884412,0.04957113883879083,4.288611612091725e-05,0.008577223224183451,0.0036362526499588814,0.05999398724493937,6.012755060634645e-07,0.00010021258434391075,4.1696299300748995e-05
21271.063553177657,0.0017788461282675894,0.0008221153871732413,0.8221153871732412,0.8394711334715127,0.049570914009705244,4.290859902947582e-05,0.008581719805895163,0.0036362526466181436,0.05999398496529548,6.015034704524367e-07,0.00010025057840873944,4.1696300216124294e-05
21281.06405320266,0.0017773499085023542,0.0008222650091497648,0.8222650091497646,0.8394925750906754,0.04957068916986636,4.293108301336475e-05,0.008586216602672949,0.003636252644614559,0.05999398268652959,6.017313470419345e-07,0.00010028855784032241,4.169630113114703e-05
21291.06455322766,0.0017758549201537608,0.0008224145079846242,0.8224145079846241,0.839514009952337,0.049570464319693225,4.29535680306778e-05,0.00859071360613556,0.0036362526439903857,0.05999398040863461,6.019591365398841e-07,0.00010032652275664735,4.169630204582002e-05
21301.065053252663,0.0017743611619294546,0.0008225638838070548,0.8225638838070547,0.8395354380629155,0.049570239459606126,4.297605403938812e-05,0.008595210807877623,0.0036362526447885116,0.05999397813160344,6.021868396565331e-07,0.00010036447327608884,4.169630296014612e-05
21311.065553277662,0.0017728686325368197,0.0008227131367463184,0.8227131367463183,0.8395568594288387,0.04957001459002652,4.299854099734826e-05,0.008599708199469652,0.0036362526470524624,0.05999397585542896,6.024144571044487e-07,0.00010040240951740811,4.169630387412821e-05
21321.066053302664,0.0017713773306829725,0.0008228622669317029,0.8228622669317027,0.8395782740565444,0.049569789711377106,4.3021028862290156e-05,0.00860420577245803,0.003636252650826405,0.05999397358010402,6.026419895985201e-07,0.00010044033159975335,4.169630478776913e-05
21331.066553327666,0.0017698872550747694,0.0008230112744925232,0.8230112744925231,0.8395996819524797,0.04956956482408175,4.304351759182513e-05,0.008608703518365025,0.003636252656155171,0.059993971305621445,6.028694378559566e-07,0.00010047823964265943,4.169630570107177e-05
21341.067053352668,0.0017683984044187988,0.0008231601595581203,0.8231601595581202,0.839621083123102,0.04956933992856557,4.306600714344389e-05,0.008613201428688776,0.0036362526630842455,0.05999396903197404,6.030968025962886e-07,0.0001005161337660481,4.1696306614039045e-05
21351.067553377667,0.0017669107774213894,0.0008233089222578614,0.8233089222578612,0.8396424775748772,0.04956911502525484,4.3088497474516555e-05,0.00861769949490331,0.0036362526716597933,0.059993966759154596,6.03324084541367e-07,0.00010055401409022784,4.169630752667381e-05
21361.06805340267,0.0017654243727885997,0.0008234575627211402,0.82345756272114,0.8396638653142814,0.04956889011457708,4.311098854229263e-05,0.008622197708458526,0.003636252681928664,0.059993964487155854,6.035512844153639e-07,0.00010059188073589399,4.1696308438979024e-05
21371.06855342767,0.0017639391892262288,0.0008236060810773774,0.8236060810773772,0.8396852463477995,0.049568665196960994,4.313348030390102e-05,0.008626696060780202,0.0036362526939383946,0.05999396221597056,6.037784029447721e-07,0.00010062973382412869,4.169630935095755e-05
21381.069053452673,0.0017624552254398105,0.0008237544774560193,0.8237544774560192,0.8397066206819257,0.0495684402728365,4.3155972716349975e-05,0.008631194543269995,0.0036362527077372264,0.059993959945591424,6.040054408584047e-07,0.00010066757347640078,4.169631026261236e-05
21391.06955347767,0.0017609724801346148,0.0008239027519865387,0.8239027519865386,0.839727988323163,0.04956821534263473,4.31784657365272e-05,0.008635693147305439,0.0036362527233741128,0.059993957676011136,6.04232398887396e-07,0.00010070539981456601,4.169631117394634e-05
21401.070053502674,0.001759490952015645,0.0008240509047984357,0.8240509047984357,0.8397493492780235,0.049567990406788005,4.320095932119974e-05,0.008640191864239949,0.0036362527408987343,0.059993955407222355,6.044592777652013e-07,0.00010074321296086687,4.16963120849625e-05
21411.070553527676,0.0017580106397876443,0.0008241989360212358,0.8241989360212357,0.8397707035530277,0.049567765465729864,4.322345342701408e-05,0.008644690685402814,0.003636252760361495,0.05999395313921773,6.046860782275963e-07,0.00010078101303793271,4.1696312995663745e-05
21421.071053552678,0.0017565315421550895,0.0008243468457844913,0.8243468457844911,0.8397920511547049,0.049567540519895044,4.324594801049605e-05,0.008649189602099209,0.003636252781813551,0.05999395087198988,6.049128010126775e-07,0.00010081880016877958,4.169631390605306e-05
21431.07155357768,0.001755053657822193,0.000824494634217781,0.8244946342177808,0.839813392089593,0.049567315569719494,4.3268443028050883e-05,0.008653688605610176,0.0036362528053068065,0.0599939486055314,6.051394468608625e-07,0.00010085657447681043,4.1696314816133417e-05
21441.07205360268,0.001753576985492904,0.0008246423014507099,0.8246423014507097,0.839834726364238,0.04956709061564037,4.329093843596323e-05,0.008658187687192646,0.003636252830893928,0.05999394633983486,6.053660165148897e-07,0.00010089433608581494,4.169631572590778e-05
21451.07255362768,0.0017521015238709061,0.0008247898476129096,0.8247898476129094,0.8398560539851938,0.04956686565809603,4.331343419039712e-05,0.008662686838079425,0.0036362528586283637,0.05999394407489281,6.055925107198176e-07,0.0001009320851199696,4.1696316635379166e-05
21461.073053652683,0.0017506272716596217,0.0008249372728340381,0.824937272834038,0.839877374959023,0.049566640697526046,4.333593024739596e-05,0.008667186049479192,0.00363625288856434,0.059993941810697775,6.058189302230265e-07,0.00010096982170383775,4.169631754455056e-05
21471.073553677685,0.0017491542275622058,0.0008250845772437796,0.8250845772437795,0.8398986871872011,0.04956641573437118,4.335842656288255e-05,0.00867168531257651,0.0036362530285718783,0.05999393954724227,6.060452757742166e-07,0.00010100754596236943,4.1696318453424975e-05
21481.074053702683,0.0017476823902815514,0.000825231760971845,0.825231760971845,0.8399199923575028,0.04956619076907341,4.3380923092659095e-05,0.008676184618531818,0.0036362531926830877,0.05999393728451875,6.062715481254095e-07,0.00010104525802090159,4.169631936200543e-05
21491.074553727685,0.0017462117585202862,0.0008253788241479716,0.8253788241479716,0.8399412909868531,0.04956596580207593,4.3403419792407187e-05,0.008680683958481438,0.0036362533548213788,0.0599939350225197,6.064977480309474e-07,0.0001010829580051579,4.1696320270294946e-05
21501.075053752687,0.0017447423309807741,0.0008255257669019228,0.8255257669019227,0.8399625830831069,0.049565740833823126,4.342591661768781e-05,0.008685183323537562,0.0036362535149750256,0.05999393276123753,6.067238762474933e-07,0.00010112064604124889,4.169632117829659e-05
21511.07555377769,0.0017432741063651155,0.0008256725893634887,0.8256725893634885,0.8399838686541432,0.049565515864760594,4.344841352394134e-05,0.008689682704788268,0.00363625367313221,0.05999393050066467,6.069499335340308e-07,0.0001011583222556718,4.1696322086013386e-05
21521.076053802688,0.0017418070833751464,0.0008258192916624856,0.8258192916624855,0.8400051477078647,0.04956529089533513,4.3470910466487524e-05,0.008694182093297503,0.003636253829281033,0.05999392824079349,6.071759206518645e-07,0.00010119598677531075,4.16963229934484e-05
