Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
220,0.009768239826055437,2.3176017394456138e-05,0.023176017394456294,0.0496052640314005,3.947359685994983e-05,0.007894719371989933,0.059636219856871564,3.637801431284344e-05,0.006063002385473859,2.3759999999999998e-06,2.3759999999999998e-06,0.04751999999999999,0.4923078958489211,0.1672868768378658,0.1253417116559147
230,0.00975779371039469,2.4220628960530876e-05,0.02422062896053101,0.04958722899445479,4.127710055452124e-05,0.008255420110904188,0.05962138872142333,3.786112785766694e-05,0.0063101879762778035,2.484e-06,2.484e-06,0.049679999999999995,0.49236487694494274,0.1665441758108221,0.1333990919230135
240,0.009747355162244535,2.5264483775546377e-05,0.025264483775546576,0.0495692166956114,4.307833043886016e-05,0.008615666087771978,0.05960618379070361,3.93816209296388e-05,0.006563603488273229,2.592e-06,2.592e-06,0.05184,0.4923972799674712,0.16697407059589678,0.12509936877483718
250,0.009736924106919164,2.6307589308083615e-05,0.026307589308083634,0.04955125538844149,4.4874461155851046e-05,0.008974892231170206,0.059590181789316084,4.098182106839121e-05,0.006830303511398572,2.6999999999999996e-06,2.6999999999999996e-06,0.053999999999999986,0.49237889232648135,0.16571575122553073,0.13290547889774185
260,0.009726500465769962,2.73499534230037e-05,0.027349953423003837,0.0495333674967196,4.6663250328040235e-05,0.009332650065608128,0.059573026983599474,4.2697301640052096e-05,0.007116216940008746,2.8079999999999996e-06,2.8079999999999996e-06,0.05615999999999999,0.4926241098579208,0.16680495408847362,0.1249661775847456
270,0.009716084261321034,2.839157386789641e-05,0.02839157386789659,0.04951550611699706,4.844938830029409e-05,0.00968987766005891,0.059555317635345564,4.4468236465443e-05,0.00741137274424053,2.9159999999999997e-06,2.9159999999999997e-06,0.05831999999999999,0.4927469478395543,0.166046554900978,0.1331634166471863
280,0.009705675554376804,2.94324445623196e-05,0.029432444562319637,0.049497653694273495,5.023463057265016e-05,0.010046926114530175,0.05953732903126189,4.6267096873811025e-05,0.0077111828123017645,3.0239999999999998e-06,3.0239999999999998e-06,0.06047999999999999,0.49334560019255225,0.1670888423586981,0.12517227055176589
290,0.009695274397475442,3.0472560252455714e-05,0.030472560252455816,0.04947980312323248,5.2019687676751546e-05,0.010403937535350405,0.05951920056609882,4.807994339011762e-05,0.008013323898352964,3.132e-06,3.132e-06,0.06263999999999999,0.493487180575424,0.16699540106213093,0.13388089290313618
300,0.009684880838526436,3.151191614735634e-05,0.03151191614735649,0.0494619483483815,5.380516516184988e-05,0.010761033032369971,0.059501055142914636,4.989448570853641e-05,0.008315747618089397,3.2399999999999995e-06,3.2399999999999995e-06,0.06479999999999998,0.49361001215917316,0.16768049552421943,0.12562207593867328
310,0.009674494920810578,3.2550507918942194e-05,0.032550507918942206,0.04944408436405195,5.5591563594805337e-05,0.011118312718961132,0.059482999173075465,5.170008269245321e-05,0.008616680448742198,3.3479999999999995e-06,3.3479999999999995e-06,0.06695999999999999,0.4935647091797164,0.16584823079178362,0.13318865256398196
320,0.009664116682979968,3.3588331702003156e-05,0.03358833170200326,0.04942620721439913,5.737927856008664e-05,0.01147585571201748,0.05946512257625534,5.3487742374466016e-05,0.008914623729077698,3.4559999999999996e-06,3.4559999999999996e-06,0.06911999999999999,0.4940301298664837,0.1670702264937245,0.12514785077386079
330,0.009653746159058016,3.462538409419821e-05,0.03462538409419835,0.049408313993402286,5.916860065977106e-05,0.011833720131954273,0.05944749878043615,5.525012195638498e-05,0.009208353659397539,3.5639999999999997e-06,3.5639999999999997e-06,0.07128,0.49426466598110114,0.16629353909027045,0.133571816372381
340,0.009643383378439443,3.5661662156055494e-05,0.03566166215605571,0.04939040284486455,6.095971551354443e-05,0.01219194310270899,0.05943018472190767,5.698152780923247e-05,0.009496921301538785,3.6719999999999997e-06,3.6719999999999997e-06,0.07343999999999999,0.49542919085324294,0.16793082622004354,0.12578578757330192
350,0.009633028365890276,3.669716341097229e-05,0.0366971634109724,0.04937247296241299,6.275270375870108e-05,0.012550540751740225,0.05941322084526757,5.8677915473243004e-05,0.00977965257887381,3.7799999999999994e-06,3.7799999999999994e-06,0.07559999999999999,0.4957013182898557,0.16858447325874998,0.1352295775840115
