10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient,Time (s),phi_w
0.4296839105741582,0.324812373900057,0.2461440091886249,7023.94628472208,[0.20075657 0.5313909  0.19731644]
0.4597529313799821,0.3568721932616496,0.2658978329610648,9054.362806054454,[0.19907018 0.5553937  0.17559254]
0.4714127562248899,0.377146689901569,0.2824217208240381,10069.57106672064,[0.20115232 0.54932196 0.17885058]
0.48584143390428736,0.3883054292074591,0.2892696016627778,11084.779327386826,[0.19877957 0.56213654 0.16924242]
0.5167156290744995,0.42361525487172197,0.3155687715490208,13263.601050107382,[0.19789052 0.56970258 0.16287779]
0.5264898097776453,0.44256734210983273,0.33039357649116374,14353.01191146766,[0.20108263 0.56526679 0.16299992]
0.5414387876075751,0.45457845993858387,0.3386807658349076,15442.422772827937,[0.19831329 0.57612392 0.15588514]
0.5724234455578983,0.4902793639695218,0.36529781112170057,17829.400524094606,[0.19777106 0.58436129 0.14838051]
0.5781574407078504,0.49977736122611094,0.3723917338540485,19022.889399727937,[0.1991503  0.58716373 0.14371424]
0.5958557577406294,0.5218274945655892,0.3909501681603133,20216.378275361272,[0.20054653 0.58114981 0.14784137]
0.6358451399559796,0.5644991965396309,0.42074376367432115,23595.916555766096,[0.19817676 0.6024895  0.12970406]
0.6325708345114394,0.5653714472523831,0.4213946572051511,25285.685695968506,[0.201483   0.60542137 0.12230431]
0.6596533499266477,0.5926246747035673,0.4417098462831117,26975.454836170917,[0.19913956 0.61192968 0.11896281]
0.6995821762678652,0.6363267865254117,0.47437055921448856,30859.916162598405,[0.19879052 0.62384689 0.10751728]
0.6871122178027258,0.6275038471495112,0.4678304635026709,32802.146825812146,[0.20407659 0.62598803 0.0982328 ]
0.7205827518370593,0.6594220578908594,0.5035078593298901,34744.377489025894,[0.20008233 0.60190456 0.12771392]
0.6925609499601607,0.6291126788721926,0.46900264018498883,30316.436588260465,[0.1993168  0.62176951 0.10888347]
0.6867029631347993,0.6259596404989243,0.46665706139521146,31986.92746430524,[0.2027878  0.62441105 0.10155138]
0.7111648616034175,0.6512537038782624,0.4889203641762148,33657.418340350014,[0.20259863 0.61798024 0.10823783]
0.7373961706351176,0.6787375912329977,0.506101536848114,36998.400092439566,[0.20105638 0.63860838 0.08969381]
0.7303097974551547,0.6733236047410436,0.5020701154055263,38668.89096848434,[0.20431443 0.64040533 0.08349409]
0.7518954090265506,0.695105088089744,0.5223814793718412,40339.38184452911,[0.20417073 0.63285712 0.09123648]
0.771572563634134,0.7154920482711248,0.5335762774997503,43504.871976935174,[0.20284734 0.6523719  0.07351007]
0.7659534773070557,0.7109725518448061,0.5302241445054845,45087.617043138205,[0.20573797 0.65337919 0.06859653]
0.782446651202523,0.7272420319323577,0.5495355568828657,46670.36210934124,[0.20567801 0.63999383 0.08206291]
0.7897030425479964,0.7348695498694349,0.5480908755171948,48335.18105467062,[0.20479967 0.6601834  0.06306029]
0.790695788156589,0.7360575563328644,0.5584818978105348,49167.59052733531,[0.20685973 0.63999383 0.08046599]
0.7949218373779925,0.7405059228708142,0.5523242500726246,50000.0,[0.20582463 0.66240824 0.05945036]
