L,shear_rate,J_pred_10,J_pred_180,J_pred_300,J_flux,yield,phi_w_10,phi_w_180,phi_w_300
0.2,63500.0,1.4207300164330914e-05,1.420729044685294e-05,1.4207693845643585e-05,1.420729044685294e-05,,0.5179670876224488,0.2604865182619625,0.13832510062919587
0.2,64000.0,1.4260184248056227e-05,1.426026485958204e-05,1.4260334199940676e-05,1.4260184248056227e-05,,0.5202242724138584,0.2587241301581689,0.13785172966891066
0.2,64500.0,1.4311791801414849e-05,1.431315625756723e-05,1.4311903858121528e-05,1.4311791801414849e-05,,0.5223231789790638,0.2569584973684699,0.13737517499596277
0.2,65000.0,1.4363503621487749e-05,1.436534278710797e-05,1.4363766100300595e-05,1.4363503621487749e-05,,0.5244623764829047,0.25523769953120745,0.13690972979052077
0.2,65500.0,1.441614634860154e-05,1.4416201017521956e-05,1.4416160411233298e-05,1.441614634860154e-05,,0.5267615000253195,0.25358073703934125,0.13645696383765946
0.2,66000.0,1.446603960016431e-05,1.4466103505764349e-05,1.4470625303195139e-05,1.446603960016431e-05,,0.5286871916263879,0.25188158868855,0.1359932585628359
0.2,66500.0,1.451784807782543e-05,1.4517854502451636e-05,1.451903394659668e-05,1.451784807782543e-05,,0.53091507871571,0.25027076953288563,0.13555245979160468
0.2,67000.0,1.4568624726894245e-05,1.4568681454382544e-05,1.4568785241135709e-05,1.4568624726894245e-05,,0.5330175637655021,0.2486684785816795,0.1351140628558122
0.2,67500.0,1.4618520886264188e-05,1.4618875996268455e-05,1.4618650920233283e-05,1.4618520886264188e-05,,0.535015885843399,0.24707384900119064,0.13467498397839725
0.2,68000.0,1.4668450018157197e-05,1.4668452764412753e-05,1.4668501608012492e-05,1.4668450018157197e-05,,0.5370426051620787,0.24551413525568094,0.13424356893962888
0.2,68500.0,1.4717816326965882e-05,1.4717858646230592e-05,1.4717854811605445e-05,1.4717816326965882e-05,,0.5390105824863666,0.2439735197909513,0.1338162212460731
0.2,69000.0,1.4766829791518958e-05,1.4766840668866575e-05,1.4767217425269794e-05,1.4766829791518958e-05,,0.5409500573184288,0.24245371307303634,0.1333964730863369
0.2,69500.0,1.4815491352296605e-05,1.481553417925045e-05,1.481558656858911e-05,1.4815491352296605e-05,,0.5428608290103498,0.24095801094228178,0.13297584418528874
0.2,70000.0,1.4849072437492397e-05,1.487641777401005e-05,1.4849452628946217e-05,1.4849072437492397e-05,,0.5425889150840497,0.239109134524713,0.132462311867458
0.2,70500.0,1.4911871954471915e-05,1.4911931348601258e-05,1.4912023359924942e-05,1.4911871954471915e-05,,0.5466115469852079,0.23803122991945377,0.1321574671259521
