shear_rate,J_pred_10,J_pred_180,J_pred_300
55500.0,1.2502433535192519e-05,1.6755453391707233e-05,3.074183437672735e-05
56000.0,1.2539866194293671e-05,1.6906403422263156e-05,3.1018787839580744e-05
56500.0,1.2577076697845302e-05,1.7057353452819075e-05,3.129574130243415e-05
57000.0,1.261406831291671e-05,1.7208303483375e-05,3.1572694765287546e-05
57500.0,1.2650844230374933e-05,1.7359253513930918e-05,3.1849648228140944e-05
58000.0,1.2687407567307437e-05,1.7510203544486838e-05,3.212660169099435e-05
58500.0,1.2723761369347665e-05,1.766115357504276e-05,3.2403555153847746e-05
59000.0,1.2759908612908034e-05,1.781210360559868e-05,3.268050861670114e-05
59500.0,1.2795852207324911e-05,1.7963053636154604e-05,3.295746207955455e-05
60000.0,1.2831594996919672e-05,1.8114003666710524e-05,3.323441554240794e-05
60500.0,1.2867139762979855e-05,1.8264953697266447e-05,3.351136900526134e-05
61000.0,1.2902489225664082e-05,1.8415903727822366e-05,3.378832246811474e-05
61500.0,1.2937646045834339e-05,1.8566853758378286e-05,3.406527593096814e-05
62000.0,1.2972612826818897e-05,1.8717803788934206e-05,3.434222939382154e-05
62500.0,1.3007392116109081e-05,1.886875381949013e-05,3.461918285667494e-05
63000.0,1.3041986406992855e-05,1.901970385004605e-05,3.489613631952834e-05
63500.0,1.3076398140128052e-05,1.917065388060197e-05,3.517308978238174e-05
64000.0,1.311062970505796e-05,1.932160391115789e-05,3.545004324523514e-05
64500.0,1.314468344167177e-05,1.947255394171381e-05,3.572699670808854e-05
65000.0,1.3178561641612351e-05,1.9623503972269734e-05,3.600395017094194e-05
65500.0,1.3212266549633605e-05,1.9774454002825654e-05,3.628090363379534e-05
66000.0,1.3245800364909582e-05,1.9925404033381577e-05,3.655785709664873e-05
66500.0,1.3279165242297445e-05,2.0076354063937497e-05,3.683481055950214e-05
67000.0,1.3312363293556214e-05,2.0227304094493416e-05,3.711176402235553e-05
67500.0,1.334539658852318e-05,2.037825412504934e-05,3.738871748520893e-05
68000.0,1.337826715624974e-05,2.052920415560526e-05,3.766567094806233e-05
68500.0,1.3410976986098375e-05,2.0680154186161182e-05,3.794262441091573e-05
69000.0,1.3443528028802314e-05,2.0831104216717102e-05,3.821957787376913e-05
69500.0,1.34759221974895e-05,2.0982054247273025e-05,3.849653133662253e-05
70000.0,1.350816136867219e-05,2.1133004277828945e-05,3.877348479947593e-05
70500.0,1.3540247383203722e-05,2.1283954308384864e-05,3.905043826232933e-05
71000.0,1.3572182047203626e-05,2.1434904338940787e-05,3.932739172518273e-05
71500.0,1.3603967132952448e-05,2.1585854369496707e-05,3.960434518803613e-05
72000.0,1.363560437975741e-05,2.173680440005263e-05,3.988129865088953e-05
72500.0,1.366709549479009e-05,2.188775443060855e-05,4.015825211374293e-05
73000.0,1.3698442153897209e-05,2.2038704461164473e-05,4.043520557659633e-05
73500.0,1.3729646002385559e-05,2.2189654491720393e-05,4.071215903944973e-05
74000.0,1.3760708655782053e-05,2.2340604522276312e-05,4.098911250230313e-05
74500.0,1.3791631700569878e-05,2.2491554552832236e-05,4.126606596515653e-05
75000.0,1.3822416694901653e-05,2.2642504583388152e-05,4.1543019428009926e-05
75500.0,1.3853065169290413e-05,2.279345461394408e-05,4.181997289086333e-05
76000.0,1.3883578627279321e-05,2.2944404644499995e-05,4.209692635371673e-05
76500.0,1.3913958546090841e-05,2.309535467505592e-05,4.2373879816570126e-05
77000.0,1.3944206377256168e-05,2.3246304705611837e-05,4.265083327942353e-05
77500.0,1.3974323547225604e-05,2.3397254736167757e-05,4.292778674227693e-05
78000.0,1.400431145796062e-05,2.354820476672368e-05,4.3204740205130325e-05
78500.0,1.4034171487508237e-05,2.36991547972796e-05,4.348169366798372e-05
79000.0,1.4063904990558344e-05,2.3850104827835523e-05,4.375864713083713e-05
79500.0,1.4093513298984636e-05,2.4001054858391443e-05,4.4035600593690525e-05
80000.0,1.4122997722369677e-05,2.4152004888947366e-05,4.4312554056543916e-05
80500.0,1.4152359548514675e-05,2.4302954919503286e-05,4.458950751939733e-05
81000.0,1.418160004393454e-05,2.4453904950059205e-05,4.486646098225072e-05
81500.0,1.4210720454338679e-05,2.4604854980615128e-05,4.5143414445104115e-05
82000.0,1.4239722005098073e-05,2.4755805011171048e-05,4.542036790795752e-05
82500.0,1.4268605901699093e-05,2.490675504172697e-05,4.569732137081092e-05
83000.0,1.4297373330184477e-05,2.505770507228289e-05,4.5974274833664314e-05
83500.0,1.4326025457581977e-05,2.5208655102838814e-05,4.625122829651772e-05
84000.0,1.4354563432321012e-05,2.5359605133394734e-05,4.6528181759371116e-05
84500.0,1.4382988384637804e-05,2.5510555163950653e-05,4.6805135222224514e-05
85000.0,1.4411301426969319e-05,2.5661505194506576e-05,4.708208868507792e-05
85500.0,1.4439503654336436e-05,2.5812455225062496e-05,4.7359042147931316e-05
86000.0,1.4467596144716673e-05,2.596340525561842e-05,4.7635995610784713e-05
86500.0,1.4495579959406804e-05,2.611435528617434e-05,4.791294907363812e-05
87000.0,1.4523456143375746e-05,2.6265305316730262e-05,4.8189902536491515e-05
87500.0,1.4551225725607968e-05,2.641625534728618e-05,4.846685599934491e-05
88000.0,1.4578889719437778e-05,2.65672053778421e-05,4.874380946219832e-05
88500.0,1.4606449122874755e-05,2.6718155408398024e-05,4.9020762925051715e-05
89000.0,1.4633904918920622e-05,2.686910543895394e-05,4.929771638790511e-05
89500.0,1.4661258075877808e-05,2.7020055469509867e-05,4.957466985075852e-05
