shear_rate,J_pred_10,J_pred_180,J_pred_300,J_flux,yield,phi_w_10,phi_w_180,phi_w_300
57500.0,1.1827615146453399e-05,1.1827635008087471e-05,1.1827694797716121e-05,1.1827615146453399e-05,,0.48825457906168407,0.2840282027351583,0.1445174267472539
58000.0,1.1878553675930477e-05,1.1878592482378475e-05,1.1878575924740997e-05,1.1878553675930477e-05,,0.4909434765399862,0.281890215493294,0.1439647516050414
58500.0,1.1927120606955075e-05,1.1930232431079813e-05,1.1927181121383338e-05,1.1927120606955075e-05,,0.49328076981254265,0.2797054140403094,0.14340050793849343
59000.0,1.1979120714729342e-05,1.1979145135029208e-05,1.1979207480723347e-05,1.1979120714729342e-05,,0.49620202769480176,0.277715362225237,0.1428829046185287
59500.0,1.2028757004042888e-05,1.2028769104449755e-05,1.2028797865153737e-05,1.2028757004042888e-05,,0.4987716521907623,0.2756775004355623,0.1423510223000068
60000.0,1.2077973855695202e-05,1.2077956589410895e-05,1.207802517755463e-05,1.2077956589410895e-05,,0.5013020735982618,0.27367141034039283,0.1418262172691508
60500.0,1.2126346490889183e-05,1.2126390250477716e-05,1.2127698248865236e-05,1.2126346490889183e-05,,0.5037252208511687,0.27168419054737225,0.1413031184630942
61000.0,1.2175157502557386e-05,1.2175166109165434e-05,1.217530925017594e-05,1.2175157502557386e-05,,0.5062476640967581,0.26975603407357923,0.14079649113244144
61500.0,1.222311263870541e-05,1.2223116786896883e-05,1.2223272752455764e-05,1.222311263870541e-05,,0.5086586552147491,0.26784245350578806,0.14028791771790433
62000.0,1.2270770167507386e-05,1.227075845951823e-05,1.2270780594021192e-05,1.227075845951823e-05,,0.511048371217192,0.26596186829056084,0.13978961224689013
62500.0,1.2316256131599862e-05,1.2316276898527169e-05,1.2322037063929994e-05,1.2316256131599862e-05,,0.513109716768911,0.264048547986201,0.13927889799077803
63000.0,1.2364828652070424e-05,1.2364839865428874e-05,1.2364948670140478e-05,1.2364828652070424e-05,,0.5157041683573786,0.262284625342207,0.13880927718846597
63500.0,1.2411219880204297e-05,1.2411211391205373e-05,1.2411563792508376e-05,1.2411211391205373e-05,,0.5179670876224488,0.26048651826196256,0.13832510062919584
64000.0,1.245741838264221e-05,1.2457488803296394e-05,1.2457549377679116e-05,1.245741838264221e-05,,0.5202242724138583,0.25872413015816903,0.13785172966891066
64500.0,1.2502501733089135e-05,1.2503693695328848e-05,1.2502599623639019e-05,1.2502501733089135e-05,,0.5223231789790637,0.25695849736847,0.1373751749959628
